Strategy,Average Bets Per Run,Average Profit (%),Profitable Runs (%),Standard Deviation (%),Risk-Adjusted Return,Min Profit (%),P25 Profit (%),Median Profit (%),P75 Profit (%),Max Profit (%)
Arbitrage,86.0,157.53999999999996,100.0,0.0,inf,157.53999999999996,157.53999999999996,157.53999999999996,157.53999999999996,157.53999999999996
Full Kelly (100%),123.8908,797.8312595227098,82.47,619.3594459803196,1.2881554720779398,-100.0,305.61411335735767,817.3910312383963,1248.0945059528658,2864.608347324999
Half Kelly (50%),130.6592,421.026402650192,92.5,286.08744670841963,1.4716703144241843,-100.0,211.09141078748235,416.08008601032105,616.7330074729218,1507.8731775950264
Quarter Kelly (25%),131.0,213.16688345624524,93.51,141.09976388981713,1.510752942313244,-96.64703491008102,109.75690025746988,209.63692380793466,312.59954494020064,712.3566993017153
