Player Prop,Game Start,Over Bet Sportsbook,Best Over Odds,Best Odds Over Line,Under Bet Sportsbook,Best Under Odds,Best Odds Under Line,Fair Odds Over,Fair Odds Over Line,Fair Odds Under,Fair Odds Under Line,Bet on Over,Bet on Under,% Profit if Over Hits,% Profit if Under Hits,% Profit if Middle Hits,Over Edge (%),Under Edge (%),Kelly Over Bet (% of bankroll),Kelly Under Bet (% of bankroll)
Brice Sensabaugh - player_threes_alternate,2025-03-09T23:40:00Z,draftkings,1400.0,0.5,fanduel,-5000.0,2.5,323.53,2.5,-323.53,2.5,,,,,,254.17,,18.15,
Isaiah Collier - player_assists_alternate,2025-03-09T23:40:00Z,fanduel,520.0,3.5,fanduel,-476.0,3.5,,8.5,,8.5,16.33,83.67,1.23,1.23,,,,,
Johnny Juzang - player_threes_alternate,2025-03-09T23:40:00Z,bovada,1700.0,1.5,fanduel,-10000.0,2.5,147.54,2.5,-147.54,2.5,,,,,,627.16,,36.89,
Justin Edwards - player_threes,2025-03-09T23:40:00Z,betmgm,-149.0,1.5,bovada,150.0,1.5,-149.6,1.5,149.6,1.5,59.94,40.06,0.16,0.16,,0.16,0.16,0.24,0.11
Kelly Oubre Jr - player_points,2025-03-09T23:40:00Z,betrivers,100.0,20.5,bovada,100.0,21.5,-106.54,21.5,106.54,21.5,,,,,,3.17,,3.17,
Kelly Oubre Jr - player_rebounds_alternate,2025-03-09T23:40:00Z,bovada,1500.0,3.5,fanduel,-833.0,7.5,,6.5,,6.5,6.54,93.46,4.47,4.47,8.94,,,,
Kelly Oubre Jr - player_threes_alternate,2025-03-09T23:40:00Z,bovada,1200.0,1.5,fanduel,-1667.0,2.5,171.67,2.5,-171.67,2.5,,,,,,378.52,,31.54,
Kenyon Martin Jr. - player_rebounds,2025-03-09T23:40:00Z,betrivers,117.0,4.5,betmgm,-110.0,4.5,113.67,4.5,-113.67,4.5,46.8,53.2,1.54,1.54,,1.56,1.56,1.33,1.72
Keyonte George - player_assists,2025-03-09T23:40:00Z,betrivers,-118.0,5.5,bovada,120.0,5.5,-119.08,5.5,119.08,5.5,54.36,45.64,0.42,0.42,,0.42,0.42,0.49,0.35
Keyonte George - player_assists_alternate,2025-03-09T23:40:00Z,bovada,2000.0,3.5,fanduel,-833.0,3.5,1874.92,3.5,-1874.92,3.5,5.06,94.94,5.96,5.96,,6.33,6.33,0.32,52.76
Keyonte George - player_points_rebounds_assists_alternate,2025-03-09T23:40:00Z,draftkings,900.0,19.5,fanduel,-1250.0,20.5,337.96,20.5,-337.96,20.5,,,,,,128.33,,14.26,
Keyonte George - player_rebounds_alternate,2025-03-09T23:40:00Z,betonlineag,3228.0,4.5,fanduel,-1429.0,7.5,,4.5,,4.5,3.11,96.89,3.54,3.54,7.07,,,,
Keyonte George - player_threes_alternate,2025-03-09T23:40:00Z,bovada,2000.0,1.5,fanduel,-5000.0,2.5,1886.27,2.5,-1886.27,2.5,,,,,,5.73,,0.29,
Kyle Filipowski - player_points,2025-03-09T23:40:00Z,betrivers,108.0,14.5,betmgm,-118.0,15.5,105.54,14.5,-105.54,14.5,,,,,,1.2,,1.11,
Kyle Filipowski - player_rebounds_alternate,2025-03-09T23:40:00Z,bovada,1200.0,5.5,fanduel,-833.0,7.5,,9.5,,9.5,7.93,92.07,3.03,3.03,6.05,,,,
Quentin Grimes - player_assists,2025-03-09T23:40:00Z,draftkings,100.0,5.5,fanduel,102.0,5.5,-101.0,5.5,101.0,5.5,50.25,49.75,0.5,0.5,,0.5,0.5,0.5,0.49
Quentin Grimes - player_assists_alternate,2025-03-09T23:40:00Z,bovada,1200.0,3.5,fanduel,-769.0,3.5,1150.4,3.5,-1150.4,3.5,8.0,92.0,3.82,3.82,,3.97,3.97,0.33,30.5
Quentin Grimes - player_points,2025-03-09T23:40:00Z,betmgm,-115.0,19.5,betrivers,110.0,20.5,-104.43,19.5,104.43,19.5,,,,,,,2.72,,2.48
Quentin Grimes - player_rebounds,2025-03-09T23:40:00Z,betonlineag,103.0,5.5,betmgm,105.0,5.5,-100.99,5.5,100.99,5.5,50.25,49.75,1.96,1.96,,2.0,2.0,1.94,1.9
Quentin Grimes - player_threes_alternate,2025-03-09T23:40:00Z,bovada,1400.0,1.5,fanduel,-5000.0,2.5,1217.65,2.5,-1217.65,2.5,,,,,,13.84,,0.99,
Anthony Edwards - player_points,2025-03-10T00:10:00Z,betrivers,118.0,27.5,draftkings,-105.0,27.5,111.66,27.5,-111.66,27.5,47.25,52.75,2.91,2.91,,3.0,3.0,2.54,3.15
Anthony Edwards - player_rebounds_assists,2025-03-10T00:10:00Z,draftkings,-110.0,11.5,betmgm,-135.0,12.5,-110.0,11.5,110.0,11.5,,,,,,0.0,,0.0,
Bismack Biyombo - player_points_rebounds,2025-03-10T00:10:00Z,betmgm,100.0,10.5,bovada,105.0,10.5,-102.5,10.5,102.5,10.5,50.62,49.38,1.22,1.22,,1.23,1.23,1.23,1.18
Damian Lillard - player_points,2025-03-10T00:10:00Z,betrivers,115.0,23.5,draftkings,-120.0,25.5,109.09,25.5,-109.09,25.5,,,,,,2.83,,2.46,
Darius Garland - player_rebounds,2025-03-10T00:10:00Z,draftkings,110.0,2.5,betrivers,100.0,2.5,105.0,2.5,-105.0,2.5,48.78,51.22,2.38,2.38,,2.44,2.44,2.22,2.44
Devin Vassell - player_points,2025-03-10T00:10:00Z,betrivers,105.0,15.5,fanduel,-112.0,16.5,100.86,16.5,-100.86,16.5,,,,,,2.06,,1.96,
Donovan Mitchell - player_points,2025-03-10T00:10:00Z,bovada,-105.0,25.5,betrivers,106.0,25.5,-105.51,25.5,105.51,25.5,51.34,48.66,0.24,0.24,,0.24,0.24,0.25,0.22
Evan Mobley - player_points,2025-03-10T00:10:00Z,betmgm,-105.0,18.5,betrivers,112.0,19.5,104.01,18.5,-104.01,18.5,52.06,47.94,1.61,1.61,3.22,,8.08,,7.22
Harrison Barnes - player_points,2025-03-10T00:10:00Z,fanduel,102.0,9.5,betrivers,108.0,9.5,-102.97,9.5,102.97,9.5,50.73,49.27,2.42,2.42,,2.48,2.48,2.43,2.29
Jaden McDaniels - player_points,2025-03-10T00:10:00Z,fanduel,100.0,14.5,betrivers,102.0,14.5,-101.0,14.5,101.0,14.5,50.25,49.75,0.5,0.5,,0.5,0.5,0.5,0.49
Julius Randle - player_points,2025-03-10T00:10:00Z,betrivers,110.0,19.5,draftkings,-120.0,20.5,107.56,19.5,-107.56,19.5,,,,,,1.18,,1.07,
Kyle Kuzma - player_points,2025-03-10T00:10:00Z,bovada,-105.0,14.5,betrivers,105.0,15.5,105.68,14.5,-105.68,14.5,,,,,,,5.33,,5.08
Mike Conley - player_points,2025-03-10T00:10:00Z,fanduel,-104.0,7.5,betrivers,112.0,7.5,-108.08,7.5,108.08,7.5,51.94,48.06,1.85,1.85,,1.89,1.88,1.96,1.68
Taurean Prince - player_points,2025-03-10T00:10:00Z,betrivers,115.0,6.5,betonlineag,-128.0,8.5,112.28,8.5,-112.28,8.5,,,,,,1.28,,1.11,
Anfernee Simons - player_points,2025-03-10T01:10:00Z,draftkings,-120.0,21.5,betrivers,120.0,22.5,-111.82,21.5,111.82,21.5,,,,,,,3.86,,3.22
Ausar Thompson - player_points,2025-03-10T01:10:00Z,bovada,110.0,11.5,betrivers,102.0,11.5,103.96,11.5,-103.96,11.5,49.03,50.97,2.88,2.88,,2.96,2.96,2.69,2.9
Ausar Thompson - player_rebounds_assists,2025-03-10T01:10:00Z,betrivers,-103.0,8.5,bovada,105.0,8.5,-104.01,8.5,104.01,8.5,50.98,49.02,0.48,0.48,,0.48,0.49,0.5,0.46
Deni Avdija - player_points,2025-03-10T01:10:00Z,betmgm,-118.0,15.5,betrivers,116.0,17.5,-108.26,15.5,108.26,15.5,,,,,,,3.72,,3.2
Jerami Grant - player_points,2025-03-10T01:10:00Z,betmgm,-105.0,13.5,betrivers,112.0,14.5,100.0,13.5,100.0,13.5,52.06,47.94,1.61,1.61,3.22,,6.0,,5.36
Tim Hardaway Jr - player_points,2025-03-10T01:10:00Z,betrivers,110.0,8.5,draftkings,-120.0,9.5,102.44,8.5,-102.44,8.5,,,,,,3.73,,3.39,
Tobias Harris - player_points,2025-03-10T01:10:00Z,draftkings,-130.0,13.5,betrivers,107.0,14.5,-106.02,14.5,106.02,14.5,,,,,,,0.48,,0.44
Toumani Camara - player_points,2025-03-10T01:10:00Z,betrivers,118.0,11.5,betonlineag,-125.0,12.5,112.22,12.5,-112.22,12.5,,,,,,2.72,,2.31,
Bogdan Bogdanovic - player_points,2025-03-10T01:40:00Z,betmgm,100.0,11.5,betrivers,112.0,12.5,109.09,11.5,-109.09,11.5,51.46,48.54,2.83,2.83,5.66,,10.61,,9.47
DeMar DeRozan - player_points,2025-03-10T01:40:00Z,betonlineag,-114.0,23.5,betrivers,105.0,25.5,112.2,25.5,-112.2,25.5,,,,,,,8.39,,7.99
DeMar DeRozan - player_points_alternate,2025-03-10T01:40:00Z,bovada,4000.0,14.5,fanduel,-1429.0,24.5,841.14,24.5,-841.14,24.5,2.54,97.46,4.1,4.1,8.2,335.64,,8.39,
Ivica Zubac - player_points,2025-03-10T01:40:00Z,fanduel,-118.0,17.5,betrivers,115.0,18.5,-107.5,18.5,107.5,18.5,,,,,,,3.61,,3.14
Ivica Zubac - player_points_alternate,2025-03-10T01:40:00Z,bovada,2500.0,9.5,fanduel,-667.0,24.5,,19.5,,19.5,4.24,95.76,9.19,9.19,18.38,,,,
Jake LaRavia - player_rebounds_alternate,2025-03-10T01:40:00Z,fanduel,1400.0,1.5,fanduel,-1250.0,1.5,,8.5,,8.5,6.72,93.28,0.74,0.74,,,,,
James Harden - player_points,2025-03-10T01:40:00Z,fanduel,-122.0,23.5,betmgm,-105.0,24.5,112.68,24.5,-112.68,24.5,,,,,,,3.44,,3.61
James Harden - player_points_alternate,2025-03-10T01:40:00Z,bovada,3000.0,14.5,fanduel,-1250.0,24.5,351.85,24.5,-351.85,24.5,3.37,96.63,4.18,4.18,8.36,586.07,,19.54,
Jonas Valanciunas - player_points,2025-03-10T01:40:00Z,betrivers,115.0,13.5,betonlineag,-120.0,14.5,106.49,14.5,-106.49,14.5,,,,,,4.12,,3.58,
Jonas Valanciunas - player_points_alternate,2025-03-10T01:40:00Z,bovada,2500.0,9.5,fanduel,-714.0,24.5,,22.5,,22.5,4.2,95.8,8.44,8.44,16.88,,,,
Kawhi Leonard - player_points,2025-03-10T01:40:00Z,betrivers,120.0,22.5,betonlineag,-108.0,23.5,102.33,22.5,-102.33,22.5,46.68,53.32,2.62,2.62,5.24,8.73,,7.28,
Kawhi Leonard - player_points_alternate,2025-03-10T01:40:00Z,bovada,1800.0,9.5,fanduel,-1111.0,44.5,,25.5,,25.5,5.43,94.57,2.99,2.99,5.99,,,,
Kawhi Leonard - player_rebounds_alternate,2025-03-10T01:40:00Z,bovada,1600.0,3.5,fanduel,-833.0,7.5,714.26,7.5,-714.26,7.5,6.18,93.82,4.84,4.84,9.67,108.78,,6.8,
Keegan Murray - player_points_alternate,2025-03-10T01:40:00Z,bovada,1400.0,9.5,fanduel,-588.0,24.5,,9.5,,9.5,7.24,92.76,7.87,7.87,15.74,,,,
Keegan Murray - player_rebounds_alternate,2025-03-10T01:40:00Z,bovada,1600.0,3.5,fanduel,-833.0,7.5,,6.5,,6.5,6.18,93.82,4.84,4.84,9.67,,,,
Keon Ellis - player_points,2025-03-10T01:40:00Z,betrivers,110.0,9.5,betmgm,-110.0,9.5,110.0,9.5,-110.0,9.5,,,,,,,0.0,,0.0
Keon Ellis - player_points_alternate,2025-03-10T01:40:00Z,bovada,1100.0,9.5,fanduel,-417.0,19.5,,11.5,,11.5,9.36,90.64,11.01,11.01,22.02,,,,
Keon Ellis - player_threes_alternate,2025-03-10T01:40:00Z,bovada,1100.0,1.5,fanduel,-5000.0,2.5,158.93,2.5,-158.93,2.5,,,,,,363.45,,33.04,
Kris Dunn - player_assists_alternate,2025-03-10T01:40:00Z,betmgm,950.0,2.5,fanduel,-2000.0,3.5,419.05,3.5,-419.05,3.5,,,,,,102.29,,10.77,
Kris Dunn - player_points,2025-03-10T01:40:00Z,draftkings,100.0,6.5,betrivers,114.0,6.5,-107.0,6.5,107.0,6.5,51.69,48.31,3.27,3.27,,3.38,3.38,3.38,2.97
Kris Dunn - player_rebounds_alternate,2025-03-10T01:40:00Z,betmgm,775.0,2.5,fanduel,-3333.0,7.5,509.71,7.5,-509.71,7.5,,,,,,43.51,,5.61,
Zach LaVine - player_points_alternate,2025-03-10T01:40:00Z,bovada,2000.0,9.5,fanduel,-1429.0,24.5,,17.5,,17.5,4.85,95.15,1.78,1.78,3.56,,,,
