Player Prop,Game Start,Over Bet Sportsbook,Best Over Odds,Best Odds Over Line,Under Bet Sportsbook,Best Under Odds,Best Odds Under Line,Fair Odds Over,Fair Odds Over Line,Fair Odds Under,Fair Odds Under Line,Bet on Over,Bet on Under,% Profit if Over Hits,% Profit if Under Hits,% Profit if Middle Hits,Over Edge (%),Under Edge (%),Kelly Over Bet (% of bankroll),Kelly Under Bet (% of bankroll)
Cason Wallace - player_rebounds,2025-03-09T17:10:00Z,fanduel,142.0,2.5,draftkings,-120.0,2.5,132.0,2.5,-132.0,2.5,43.1,56.9,4.13,4.13,,4.31,4.31,3.04,5.17
Shai Gilgeous-Alexander - player_threes,2025-03-09T17:10:00Z,fanduel,172.0,1.5,draftkings,-167.0,1.5,170.13,1.5,-170.13,1.5,37.02,62.98,0.69,0.69,,0.69,0.69,0.4,1.16
Devin Booker - player_points,2025-03-09T19:40:00Z,betrivers,117.0,24.5,betonlineag,-119.0,25.5,105.6,25.5,-105.6,25.5,,,,,,5.54,,4.74,
Grayson Allen - player_threes_alternate,2025-03-09T19:40:00Z,draftkings,-213.0,0.5,fanduel,-1667.0,5.5,3309.47,5.5,-3309.47,5.5,,,,,,,2.89,,48.17
Kevin Durant - player_points,2025-03-09T19:40:00Z,betrivers,104.0,24.5,betmgm,-110.0,25.5,100.0,25.5,100.0,25.5,,,,,,2.0,,1.92,
Kevin Durant - player_rebounds_alternate,2025-03-09T19:40:00Z,bovada,3500.0,3.5,fanduel,-833.0,11.5,,6.5,,6.5,3.02,96.98,7.94,7.94,15.88,,,,
Kevin Durant - player_rebounds_assists,2025-03-09T19:40:00Z,betmgm,100.0,10.5,bovada,105.0,10.5,-102.5,10.5,102.5,10.5,50.62,49.38,1.22,1.22,,1.23,1.23,1.23,1.18
Klay Thompson - player_points,2025-03-09T19:40:00Z,betrivers,104.0,17.5,betmgm,-110.0,18.5,102.27,18.5,-102.27,18.5,,,,,,0.86,,0.82,
Klay Thompson - player_rebounds,2025-03-09T19:40:00Z,betmgm,-110.0,3.5,fanduel,120.0,3.5,-115.24,3.5,115.24,3.5,53.54,46.46,2.16,2.16,,2.21,2.21,2.43,1.84
Max Christie - player_assists,2025-03-09T19:40:00Z,betmgm,-164.0,2.5,fanduel,-135.0,3.5,135.0,3.5,-135.0,3.5,,,,,,,0.0,,0.0
Max Christie - player_points,2025-03-09T19:40:00Z,bovada,-105.0,14.5,betrivers,112.0,15.5,-102.44,14.5,102.44,14.5,52.06,47.94,1.61,1.61,3.22,,4.72,,4.22
Max Christie - player_rebounds_alternate,2025-03-09T19:40:00Z,fanduel,1700.0,1.5,fanduel,-1429.0,1.5,,5.5,,5.5,5.61,94.39,0.98,0.98,,,,,
Max Christie - player_rebounds_assists,2025-03-09T19:40:00Z,betrivers,-106.0,7.5,bovada,110.0,7.5,-108.06,7.5,108.06,7.5,51.94,48.06,0.92,0.92,,0.93,0.93,0.99,0.85
Max Christie - player_threes,2025-03-09T19:40:00Z,bovada,145.0,2.5,draftkings,-130.0,2.5,138.48,2.5,-138.48,2.5,41.93,58.07,2.66,2.66,,2.73,2.74,1.89,3.56
Naji Marshall - player_assists,2025-03-09T19:40:00Z,betmgm,130.0,3.5,fanduel,-125.0,3.5,127.78,3.5,-127.78,3.5,43.9,56.1,0.97,0.97,,0.97,0.98,0.75,1.22
Naji Marshall - player_points,2025-03-09T19:40:00Z,betrivers,117.0,16.5,bovada,100.0,17.5,100.0,17.5,100.0,17.5,47.96,52.04,3.92,3.92,7.83,8.5,,7.26,
Naji Marshall - player_rebounds_alternate,2025-03-09T19:40:00Z,bovada,1800.0,5.5,fanduel,-455.0,11.5,,8.5,,8.5,6.03,93.97,12.75,12.75,25.51,,,,
Naji Marshall - player_threes_alternate,2025-03-09T19:40:00Z,draftkings,290.0,0.5,fanduel,-1667.0,3.5,1775.49,3.5,-1775.49,3.5,,,,,,,0.35,,5.78
Nick Richards - player_rebounds_alternate,2025-03-09T19:40:00Z,bovada,1200.0,5.5,fanduel,-556.0,11.5,167.85,11.5,-167.85,11.5,8.32,91.68,7.55,7.55,15.1,385.35,,32.11,
Brandon Clarke - player_rebounds,2025-03-09T23:10:00Z,draftkings,-125.0,6.5,betrivers,-115.0,7.5,117.67,7.5,-117.67,7.5,,,,,,,1.07,,1.23
Desmond Bane - player_points,2025-03-09T23:10:00Z,betrivers,110.0,23.5,betmgm,-105.0,23.5,107.56,23.5,-107.56,23.5,48.18,51.82,1.16,1.16,,1.18,1.17,1.07,1.23
Ja Morant - player_points,2025-03-09T23:10:00Z,betrivers,114.0,23.5,fanduel,-120.0,25.5,106.49,25.5,-106.49,25.5,,,,,,3.64,,3.19,
Jaylen Wells - player_points,2025-03-09T23:10:00Z,betmgm,-115.0,10.5,betrivers,108.0,11.5,-108.0,11.5,108.0,11.5,,,,,,,0.0,,0.0
Trey Murphy III - player_points,2025-03-09T23:10:00Z,betrivers,110.0,23.5,betmgm,-115.0,24.5,106.98,24.5,-106.98,24.5,,,,,,1.46,,1.33,
Yves Missi - player_points,2025-03-09T23:10:00Z,draftkings,105.0,10.5,betrivers,-109.0,11.5,115.87,10.5,-115.87,10.5,,,,,,,2.92,,3.18
Yves Missi - player_rebounds_assists,2025-03-09T23:10:00Z,betmgm,-110.0,9.5,bovada,110.0,9.5,-110.0,9.5,110.0,9.5,,,,,,0.0,,0.0,
Andre Drummond - player_points,2025-03-09T23:40:00Z,betrivers,104.0,12.5,bovada,105.0,12.5,-100.49,12.5,100.49,12.5,50.12,49.88,2.2,2.2,,2.25,2.25,2.16,2.14
Brice Sensabaugh - player_points,2025-03-09T23:40:00Z,draftkings,-110.0,14.5,betrivers,-104.0,15.5,-112.62,14.5,112.62,14.5,,,,,,1.12,,1.23,
Brice Sensabaugh - player_rebounds,2025-03-09T23:40:00Z,betonlineag,-156.0,3.5,betmgm,-120.0,4.5,124.36,4.5,-124.36,4.5,,,,,,,1.62,,1.94
