sport,game_id,game_start,away_team,home_team,market,player_name,player_team,player_position,timestamp,bovada_line,bovada_over_price,bovada_under_price,draftkings_line,draftkings_over_price,draftkings_under_price,fanduel_line,fanduel_over_price,fanduel_under_price,betmgm_line,betmgm_over_price,betmgm_under_price,betonlineag_line,betonlineag_over_price,betonlineag_under_price,betrivers_line,betrivers_over_price,betrivers_under_price,vig_from_best_odds,fair_odds_over,fair_odds_under,best_odds_over,best_odds_under,best_odds_over_sportsbook,best_odds_under_sportsbook,best_odds_over_line,best_odds_under_line,fair_line,fair_line_method
basketball_nba,8eea0fac716aea84884f4538afd3f382,2025-03-10T00:10:00Z,San Antonio Spurs,Minnesota Timberwolves,player_rebounds_assists_alternate,De'Aaron Fox,,,2025-03-09 18:16:29.448343,,,,,,,5.5,220.0,-833.0,,,,12.5,3303.0,,,,,,,,220.0,-833.0,fanduel,fanduel,5.5,5.5,9.0,median
basketball_nba,8eea0fac716aea84884f4538afd3f382,2025-03-10T00:10:00Z,San Antonio Spurs,Minnesota Timberwolves,player_steals,De'Aaron Fox,,,2025-03-09 18:16:29.448392,,,,1.5,130.0,-167.0,1.5,126.0,-167.0,,,,,,,,,,6.03,143.86,-143.86,130.0,-167.0,draftkings,draftkings,1.5,1.5,1.5,median
basketball_nba,8eea0fac716aea84884f4538afd3f382,2025-03-10T00:10:00Z,San Antonio Spurs,Minnesota Timberwolves,player_steals_alternate,De'Aaron Fox,,,2025-03-09 18:16:29.448424,,,,1.5,-385.0,,0.5,400.0,,,,,0.5,1000.0,,,,,,,,1000.0,,betonlineag,,0.5,,0.5,most_common
basketball_nba,8eea0fac716aea84884f4538afd3f382,2025-03-10T00:10:00Z,San Antonio Spurs,Minnesota Timberwolves,player_threes,De'Aaron Fox,,,2025-03-09 18:16:29.448500,1.5,-169.0,130.0,1.5,-167.0,130.0,1.5,-172.0,134.0,1.5,-175.0,130.0,1.5,-169.0,130.0,1.5,-156.0,117.0,3.67,-142.59,142.59,-156.0,134.0,betrivers,fanduel,1.5,1.5,1.5,median
basketball_nba,8eea0fac716aea84884f4538afd3f382,2025-03-10T00:10:00Z,San Antonio Spurs,Minnesota Timberwolves,player_threes_alternate,De'Aaron Fox,,,2025-03-09 18:16:29.448602,1.5,1000.0,,0.5,-175.0,,1.5,178.0,-3333.0,0.5,-161.0,,1.5,154.0,,,,,6.18,1067.96,-1067.96,-161.0,-3333.0,betmgm,fanduel,0.5,1.5,1.5,most_common
basketball_nba,8eea0fac716aea84884f4538afd3f382,2025-03-10T00:10:00Z,San Antonio Spurs,Minnesota Timberwolves,player_turnovers,De'Aaron Fox,,,2025-03-09 18:16:29.450571,,,,2.5,124.0,-161.0,,,,,,,,,,,,,6.33,138.18,-138.18,124.0,-161.0,draftkings,draftkings,2.5,2.5,2.5,median
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_assists,De'Andre Hunter,,,2025-03-09 18:16:29.149083,,,,,,,,,,1.5,110.0,-145.0,,,,,,,6.8,124.29,-124.29,110.0,-145.0,betmgm,betmgm,1.5,1.5,1.5,median
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_assists_alternate,De'Andre Hunter,,,2025-03-09 18:16:29.145178,,,,2.5,100.0,,,,,2.5,350.0,,,,,,,,,,,350.0,,betmgm,,2.5,,2.5,median
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_blocks,De'Andre Hunter,,,2025-03-09 18:16:29.149219,,,,,,,,,,0.5,320.0,-526.0,,,,,,,7.84,352.91,-352.91,320.0,-526.0,betmgm,betmgm,0.5,0.5,0.5,median
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_blocks_alternate,De'Andre Hunter,,,2025-03-09 18:16:29.147500,,,,,,,,,,,,,0.5,2900.0,,,,,,,,2900.0,,betonlineag,,0.5,,0.5,median
